feature,shap_importance
subvillage_Mlimani,0.0
installer_no_data,0.0
installer_WEDECO,0.0
management_wua,0.0
installer_TCRS,0.0
funder_Water,0.0
funder_Unicef,0.0
funder_Tcrs,0.0
funder_Tasaf,0.0
funder_Rwssp,0.0
funder_Private Individual,0.0
funder_Other,0.0
funder_Norad,0.0
funder_Ministry Of Water,0.0
funder_Kkkt,0.0
funder_Hesawa,0.0
funder_Government Of Tanzania,0.0
funder_Germany Republi,0.0
funder_Dwsp,0.0
funder_District Council,0.0
funder_Dhv,0.0
funder_Danida,0.0
funder_World Bank,0.0
funder_World Vision,0.0
funder_no_data,0.0
installer_Government,0.0
installer_TASAF,0.0
installer_RWE,0.0
installer_Other,0.0
installer_LGA,0.0
installer_KKKT,0.0
installer_Hesawa,0.0
installer_HESAWA,0.0
installer_District Council,0.0
installer_0,0.0
installer_DWE,0.0
installer_DANIDA,0.0
installer_DANID,0.0
installer_Community,0.0
installer_Commu,0.0
installer_Central government,0.0
installer_CES,0.0
ward_Maji ya Chai,0.0
ward_Maramba,0.0
ward_Matola,0.0
ward_Mdandu,0.0
extraction_type_ksb,0.0
extraction_type_india mark iii,0.0
extraction_type_india mark ii,0.0
extraction_type_gravity,0.0
extraction_type_climax,0.0
extraction_type_cemo,0.0
extraction_type_afridev,0.0
permit_no_data,0.0
permit_True,0.0
permit_False,0.0
scheme_name_wanging'ombe water supply s,0.0
scheme_name_wanging'ombe supply scheme,0.0
scheme_name_no_data,0.0
scheme_name_Uroki-Bomang'ombe water sup,0.0
scheme_name_Other,0.0
scheme_name_None,0.0
scheme_name_Ngana water supplied scheme,0.0
extraction_type_mono,0.0
extraction_type_nira/tanira,0.0
extraction_type_other - mkulima/shinyanga,0.0
management_other - school,0.0
management_water board,0.0
management_water authority,0.0
management_vwc,0.0
management_unknown,0.0
management_trust,0.0
management_private operator,0.0
management_parastatal,0.0
management_other,0.0
extraction_type_other - play pump,0.0
management_company,0.0
extraction_type_windmill,0.0
extraction_type_walimi,0.0
extraction_type_swn 80,0.0
extraction_type_submersible,0.0
extraction_type_other - swn 81,0.0
extraction_type_other - rope pump,0.0
scheme_name_N,0.0
scheme_name_Makwale water supplied sche,0.0
scheme_name_Machumba estate pipe line,0.0
ward_Vikindu,0.0
scheme_management_Other,0.0
scheme_management_None,0.0
scheme_management_Company,0.0
public_meeting_no_data,0.0
public_meeting_True,0.0
public_meeting_False,0.0
ward_Zinga/Ikerege,0.0
ward_Usuka,0.0
scheme_management_Private operator,0.0
ward_Siha Kati,0.0
ward_Other,0.0
ward_Ngarenanyuki,0.0
ward_Nduruma,0.0
ward_Mtwango,0.0
ward_Msindo,0.0
ward_Mishamo,0.0
scheme_management_Parastatal,0.0
scheme_management_SWC,0.0
scheme_name_M,0.0
scheme_name_Chalinze wate,0.0
scheme_name_Kirua kahe gravity water supply trust,0.0
scheme_name_Kijiji,0.0
scheme_name_K,0.0
scheme_name_I,0.0
scheme_name_Handeni Trunk Main(H,0.0
scheme_name_Government,0.0
scheme_name_DANIDA,0.0
scheme_name_Borehole,0.0
scheme_management_Trust,0.0
scheme_name_Bagamoyo wate,0.0
scheme_management_no_data,0.0
scheme_management_Water authority,0.0
scheme_management_Water Board,0.0
scheme_management_WUG,0.0
scheme_management_WUA,0.0
scheme_management_VWC,0.0
month,0.0
